question,votes,tags
"What does the ""yield"" keyword do?",11613,python iterator generator yield coroutine
"What does if __name__ == ""__main__"": do?",7152,python namespaces main python-module idioms
Does Python have a ternary conditional operator?,7024,python operators ternary-operator conditional-operator
What are metaclasses in Python?,6445,python oop metaclass python-class python-datamodel
How do I check whether a file exists without exceptions?,6417,python file file-exists
How do I merge two dictionaries in a single expression (taking union of dictionaries)?,5993,python dictionary merge
How to execute a program or call a system command?,5512,python shell terminal subprocess command
How can I safely create a nested directory in Python?,4981,python exception path directory operating-system
Accessing the index in 'for' loops?,4405,python loops list
How to make a flat list out of a list of lists,4333,python list multidimensional-array flatten
Difference between staticmethod and classmethod,4121,python oop methods python-decorators
Understanding slice notation,4031,python list slice iterable
Finding the index of an item in a list,3839,python list indexing
Iterating over dictionaries using 'for' loops,3707,python dictionary
Does Python have a string 'contains' substring method?,3595,python string substring contains
Using global variables in a function,3508,python global-variables scope
How do I list all files of a directory?,3466,python directory
How do I sort a dictionary by value?,3417,python sorting dictionary
How to get the current time in Python,3398,python datetime time
Catch multiple exceptions in one line (except block),3329,python exception exception-handling
How do I check if a list is empty?,3231,python list
What is the difference between __str__ and __repr__?,3199,python magic-methods repr
How can I add new keys to a dictionary?,3181,python dictionary lookup
How do I concatenate two lists in Python?,3125,python list concatenation
What is the difference between Python's list methods append and extend?,3113,python list data-structures append extend
How do I copy a file in Python?,3108,python file copy filesystems file-copying
Convert bytes to a string,3105,python string python-3.x
How to iterate over rows in a DataFrame in Pandas,3068,python pandas dataframe
How can I make a time delay in Python? [duplicate],3010,python python-3.x delay sleep timedelay
"""Least Astonishment"" and the Mutable Default Argument",3008,python language-design default-parameters least-astonishment
How do I pass a variable by reference?,2984,python reference parameter-passing pass-by-reference
How to make function decorators and chain them together?,2970,python decorator python-decorators
What is __init__.py for?,2961,python module package python-packaging
List changes unexpectedly after assignment. Why is this and how can I prevent it?,2960,python list reference copy clone
Understanding Python super() with __init__() methods [duplicate],2883,python class oop inheritance super
What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,2831,python syntax parameter-passing variadic-functions argument-unpacking
How do I select rows from a DataFrame based on column values?,2771,python pandas dataframe
How to delete a file or folder in Python?,2727,python file-io directory delete-file
Manually raising (throwing) an exception in Python,2698,python exception
How do you split a list into evenly sized chunks?,2695,python list split chunks
